"Status";"Gas Day Start";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Full/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working gas volume (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)"
"E";"2023-01-01";"222.827";"90.57";"0.41";"0";"0";"1058.93";"49.2";"246.0328";"4254.42";"6879.26"
"E";"2022-12-31";"221.8238";"90.12";"0.42";"905.3031";"24.5";"1098.25";"58";"246.1328";"4254.42";"6879.26"
"E";"2022-12-30";"220.7348";"89.68";"0.29";"905.3031";"24.38";"884.72";"170.7";"246.1328";"4254.42";"6879.26"
"C";"2022-12-29";"220.0207";"89.39";"0.32";"905.3031";"24.3";"910.29";"115.7";"246.1328";"4254.42";"6879.26"
"C";"2022-12-28";"219.2241";"89.07";"0.23";"905.3031";"24.22";"702.11";"139";"246.1328";"4254.42";"6879.26"
"C";"2022-12-27";"218.6678";"88.84";"0.22";"905.3031";"24.15";"718.27";"183.6";"246.1328";"4254.42";"6879.26"
"C";"2022-12-26";"218.1331";"88.62";"0.41";"905.3031";"24.1";"1047.04";"31.7";"246.1328";"4254.42";"6879.26"
"C";"2022-12-25";"217.1178";"88.21";"0.38";"905.3031";"23.98";"966.54";"42.4";"246.1328";"4254.42";"6879.26"
"C";"2022-12-24";"216.1936";"87.84";"0.37";"905.3031";"23.88";"946.97";"43.1";"246.1328";"4254.42";"6879.26"
"C";"2022-12-23";"215.588";"87.59";"0.15";"905.3031";"23.81";"614.14";"235.2";"246.1328";"4254.42";"6879.26"
"E";"2022-12-22";"215.2005";"87.43";"0.13";"905.3031";"23.77";"569.16";"249.2";"246.1328";"4014.42";"6879.26"
"C";"2022-12-21";"214.8769";"87.3";"0.11";"905.3031";"23.74";"526.57";"263.2";"246.1328";"4014.42";"6879.26"
"C";"2022-12-20";"214.6158";"87.2";"-0.1";"905.3031";"23.71";"174.15";"424.3";"246.1328";"4014.42";"6879.26"
"C";"2022-12-19";"214.8832";"87.3";"-0.31";"905.3031";"23.74";"98.06";"865.5";"246.1328";"4014.42";"6879.26"
"C";"2022-12-18";"215.6506";"87.62";"-0.34";"905.3031";"23.82";"158.1";"992.8";"246.1328";"4014.42";"6879.26"
"C";"2022-12-17";"216.4853";"87.95";"-0.45";"905.3031";"23.91";"80.83";"1200.6";"246.1328";"4014.42";"6879.26"
"C";"2022-12-16";"217.6031";"88.41";"-0.8";"905.3031";"24.04";"26.48";"1999.6";"246.1328";"4014.42";"6879.26"
"C";"2022-12-15";"219.5763";"89.21";"-1.02";"905.3031";"24.25";"16.11";"2520.6";"246.1328";"4014.42";"6879.26"
"C";"2022-12-14";"222.0809";"90.23";"-1.02";"905.3031";"24.53";"14.75";"2520.8";"246.1328";"4014.42";"6879.26"
"C";"2022-12-13";"224.6241";"91.26";"-1.13";"905.3031";"24.81";"22.49";"2815.6";"246.1328";"4014.42";"6951.26"
"C";"2022-12-12";"227.5403";"92.45";"-1.04";"905.3031";"25.13";"12.29";"2583.5";"246.1328";"4014.42";"6879.26"
"C";"2022-12-11";"230.1152";"93.49";"-0.53";"905.3031";"25.42";"21.61";"1318.1";"246.1328";"4014.42";"6879.26"
"C";"2022-12-10";"231.4133";"94.02";"-0.49";"905.3031";"25.56";"32.38";"1237.1";"246.1328";"4014.42";"6879.26"
"C";"2022-12-09";"232.618";"94.51";"-0.53";"905.3031";"25.7";"31.56";"1333.6";"246.1328";"4014.42";"6879.26"
"C";"2022-12-08";"233.9456";"95.05";"-0.49";"905.3031";"25.84";"23.43";"1221.1";"246.1328";"4014.42";"6879.26"
"C";"2022-12-07";"235.1449";"95.54";"-0.42";"905.3031";"25.97";"59.59";"1099.6";"246.1328";"4014.42";"6879.26"
