name,code,consumption,consumptionFull,url,gasDayStart,gasInStorage,injection,withdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,status,trend,full,info,month_day,year,gasDayEnd,month_day_gasDayEnd,year_gasDayEnd,netWithdrawal
Germany,DE,-,0,DE,2023-01-01,222.827,1058.93,49.2,246.0328,4254.42,6879.26,E,0.41,90.57,[],01.01.,2023,2023-01-02,01.02.,2023,-1009.7
Germany,DE,905.3031,24.5,DE,2022-12-31,221.8238,1098.25,58,246.1328,4254.42,6879.26,E,0.42,90.12,[],12.31.,2022,2023-01-01,01.01.,2023,-1040.3
Germany,DE,905.3031,24.38,DE,2022-12-30,220.7348,884.72,170.7,246.1328,4254.42,6879.26,E,0.29,89.68,[],12.30.,2022,2022-12-31,12.31.,2022,-714
Germany,DE,905.3031,24.3,DE,2022-12-29,220.0207,910.29,115.7,246.1328,4254.42,6879.26,C,0.32,89.39,[],12.29.,2022,2022-12-30,12.30.,2022,-794.6
Germany,DE,905.3031,24.22,DE,2022-12-28,219.2241,702.11,139,246.1328,4254.42,6879.26,C,0.23,89.07,[],12.28.,2022,2022-12-29,12.29.,2022,-563.1
Germany,DE,905.3031,24.15,DE,2022-12-27,218.6678,718.27,183.6,246.1328,4254.42,6879.26,C,0.22,88.84,[],12.27.,2022,2022-12-28,12.28.,2022,-534.6
Germany,DE,905.3031,24.1,DE,2022-12-26,218.1331,1047.04,31.7,246.1328,4254.42,6879.26,C,0.41,88.62,[],12.26.,2022,2022-12-27,12.27.,2022,-1015.4
Germany,DE,905.3031,23.98,DE,2022-12-25,217.1178,966.54,42.4,246.1328,4254.42,6879.26,C,0.38,88.21,[],12.25.,2022,2022-12-26,12.26.,2022,-924.1
Germany,DE,905.3031,23.88,DE,2022-12-24,216.1936,946.97,43.1,246.1328,4254.42,6879.26,C,0.37,87.84,[],12.24.,2022,2022-12-25,12.25.,2022,-903.9
Germany,DE,905.3031,23.81,DE,2022-12-23,215.588,614.14,235.2,246.1328,4254.42,6879.26,C,0.15,87.59,[],12.23.,2022,2022-12-24,12.24.,2022,-378.9
Germany,DE,905.3031,23.77,DE,2022-12-22,215.2005,569.16,249.2,246.1328,4014.42,6879.26,E,0.13,87.43,[],12.22.,2022,2022-12-23,12.23.,2022,-319.9
Germany,DE,905.3031,23.74,DE,2022-12-21,214.8769,526.57,263.2,246.1328,4014.42,6879.26,C,0.11,87.3,[],12.21.,2022,2022-12-22,12.22.,2022,-263.4
Germany,DE,905.3031,23.71,DE,2022-12-20,214.6158,174.15,424.3,246.1328,4014.42,6879.26,C,-0.1,87.2,[],12.20.,2022,2022-12-21,12.21.,2022,250.1
Germany,DE,905.3031,23.74,DE,2022-12-19,214.8832,98.06,865.5,246.1328,4014.42,6879.26,C,-0.31,87.3,[],12.19.,2022,2022-12-20,12.20.,2022,767.4
Germany,DE,905.3031,23.82,DE,2022-12-18,215.6506,158.1,992.8,246.1328,4014.42,6879.26,C,-0.34,87.62,[],12.18.,2022,2022-12-19,12.19.,2022,834.7
Germany,DE,905.3031,23.91,DE,2022-12-17,216.4853,80.83,1200.6,246.1328,4014.42,6879.26,C,-0.45,87.95,[],12.17.,2022,2022-12-18,12.18.,2022,1119.8
Germany,DE,905.3031,24.04,DE,2022-12-16,217.6031,26.48,1999.6,246.1328,4014.42,6879.26,C,-0.8,88.41,[],12.16.,2022,2022-12-17,12.17.,2022,1973.2
Germany,DE,905.3031,24.25,DE,2022-12-15,219.5763,16.11,2520.6,246.1328,4014.42,6879.26,C,-1.02,89.21,[],12.15.,2022,2022-12-16,12.16.,2022,2504.5
Germany,DE,905.3031,24.53,DE,2022-12-14,222.0809,14.75,2520.8,246.1328,4014.42,6879.26,C,-1.02,90.23,[],12.14.,2022,2022-12-15,12.15.,2022,2506.1
Germany,DE,905.3031,24.81,DE,2022-12-13,224.6241,22.49,2815.6,246.1328,4014.42,6951.26,C,-1.13,91.26,[],12.13.,2022,2022-12-14,12.14.,2022,2793.1
Germany,DE,905.3031,25.13,DE,2022-12-12,227.5403,12.29,2583.5,246.1328,4014.42,6879.26,C,-1.04,92.45,[],12.12.,2022,2022-12-13,12.13.,2022,2571.2
Germany,DE,905.3031,25.42,DE,2022-12-11,230.1152,21.61,1318.1,246.1328,4014.42,6879.26,C,-0.53,93.49,[],12.11.,2022,2022-12-12,12.12.,2022,1296.5
Germany,DE,905.3031,25.56,DE,2022-12-10,231.4133,32.38,1237.1,246.1328,4014.42,6879.26,C,-0.49,94.02,[],12.10.,2022,2022-12-11,12.11.,2022,1204.7
Germany,DE,905.3031,25.7,DE,2022-12-09,232.618,31.56,1333.6,246.1328,4014.42,6879.26,C,-0.53,94.51,[],12.09.,2022,2022-12-10,12.10.,2022,1302
Germany,DE,905.3031,25.84,DE,2022-12-08,233.9456,23.43,1221.1,246.1328,4014.42,6879.26,C,-0.49,95.05,[],12.08.,2022,2022-12-09,12.09.,2022,1197.7
Germany,DE,905.3031,25.97,DE,2022-12-07,235.1449,59.59,1099.6,246.1328,4014.42,6879.26,C,-0.42,95.54,[],12.07.,2022,2022-12-08,12.08.,2022,1040
Germany,DE,905.3031,26.09,DE,2022-12-06,236.2065,11.22,1112.7,246.1328,4014.42,6879.26,C,-0.45,95.97,[],12.06.,2022,2022-12-07,12.07.,2022,1101.5
Germany,DE,905.3031,26.21,DE,2022-12-05,237.273,40.32,935.1,246.1328,4014.42,6879.26,C,-0.36,96.4,[],12.05.,2022,2022-12-06,12.06.,2022,894.8
Germany,DE,905.3031,26.31,DE,2022-12-04,238.1728,62.11,572.1,246.1328,4254.42,6879.26,C,-0.21,96.77,[],12.04.,2022,2022-12-05,12.05.,2022,510
Germany,DE,905.3031,26.37,DE,2022-12-03,238.6888,43.08,545.1,246.1328,4254.42,6879.26,C,-0.2,96.98,[],12.03.,2022,2022-12-04,12.04.,2022,502
Germany,DE,905.3031,26.42,DE,2022-12-02,239.1846,11.09,1122.6,246.1328,4254.42,6879.26,C,-0.45,97.18,[],12.02.,2022,2022-12-03,12.03.,2022,1111.5
Germany,DE,905.3031,26.54,DE,2022-12-01,240.2913,40.83,965.6,246.1328,4014.42,6879.26,C,-0.38,97.63,[],12.01.,2022,2022-12-02,12.02.,2022,924.8
Germany,DE,905.3031,26.64,DE,2022-11-30,241.2148,85.89,673.6,246.1328,4014.42,6879.26,C,-0.24,98.0,[],11.30.,2022,2022-12-01,12.01.,2022,587.7
